Date,Open,High,Low,Close,Adj Close,Volume,Days
2017-06-12,57.099998,58.330002,57.099998,57.869999,49.221661,11661500,936
2017-06-13,57.700001,57.84,56.75,57.380001,48.804878,5947600,937
2017-06-14,57.5,57.959999,56.82,57.860001,49.213154,4337100,938
2017-06-15,56.98,57.75,55.330002,55.459999,47.171818,10528000,939
2017-06-16,51.43,52.610001,48.560001,52.610001,44.747738,49491700,940
2017-06-19,52.869999,52.91,50.639999,51.709999,43.982231,14747200,941
2017-06-20,51.810001,51.869999,50.91,50.91,43.301796,8795400,942
2017-06-21,50.959999,51.790001,50.439999,50.52,42.97007,9996500,943
2017-06-22,50.610001,50.959999,50.049999,50.630001,43.063644,6746000,944
2017-06-23,50.599998,50.919998,50.380001,50.759998,43.174206,6256700,945
2017-06-26,50.830002,51.66,50.77,51.48,43.786598,5805000,946
2017-06-27,51.41,52.34,51.360001,52.07,44.288433,6671600,947
2017-06-28,52.130001,52.689999,51.900002,52.060001,44.279938,6148000,948
2017-06-29,52.25,52.630001,51.740002,52.09,44.305439,4663000,949
2017-06-30,52.25,52.43,51.91,52.290001,44.475563,4008400,950
2017-07-03,52.529999,52.880001,52.330002,52.650002,44.781765,2790900,951
2017-07-05,52.849998,53.18,51.919998,52.16,44.364979,3960700,952
2017-07-06,52,52.080002,51.369999,51.439999,43.752579,3712700,953
2017-07-07,51.48,51.73,50.689999,51.07,43.43787,4882400,954
2017-07-10,51.150002,51.169998,50.040001,50.18,42.680878,6520000,955
2017-07-11,50.23,50.779999,50.189999,50.41,42.876507,4594300,956
2017-07-12,50.48,51.16,50.459999,50.869999,43.267765,4482100,957
2017-07-13,52.25,53.709999,52,53.310001,45.343128,23218000,958
2017-07-14,53.48,53.540001,53.060001,53.23,45.275085,5829200,959
2017-07-17,53.23,54.169998,53.220001,53.73,45.700363,12488000,960
2017-07-18,53.580002,53.970001,53.259998,53.73,45.700363,4526300,961
2017-07-19,53.799999,54.209999,53.52,54.099998,46.015053,3954200,962
2017-07-20,54.16,54.93,53.98,54.580002,46.423336,6665900,963
2017-07-21,54.560001,55.009998,54.18,54.84,46.64447,6355400,964
2017-07-24,54.650002,54.860001,54.02,54.049999,45.97253,5627100,965
2017-07-25,54.209999,55.560001,54.189999,55.099998,46.865612,4506500,966
2017-07-26,55.060001,55.16,54.27,54.959999,46.746536,3403400,967
2017-07-27,54.959999,56.060001,54.529999,56.049999,47.673645,4489100,968
2017-07-28,56,56.360001,55.639999,56.110001,47.724682,5372000,969
2017-07-31,56.34,56.75,55.900002,56.669998,48.200989,5662800,970
2017-08-01,56.580002,56.880001,56.139999,56.860001,48.362602,4029000,971
2017-08-02,56.779999,57.119999,56.419998,56.799999,48.311562,3677100,972
2017-08-03,56.959999,57.380001,56.380001,57.040001,48.51569,5321700,973
2017-08-04,57.18,57.650002,57.16,57.580002,48.975002,4462800,974
2017-08-07,57.57,57.970001,57.5,57.880001,49.23016,3903900,975
2017-08-08,58,59.209999,58,58.740002,49.961636,8129300,976
2017-08-09,58.57,58.580002,57.380001,57.869999,49.221661,6389400,977
2017-08-10,57.32,57.32,55.470001,55.639999,47.324909,10853100,978
2017-08-11,55.34,55.919998,55.110001,55.650002,47.333427,6022800,979
2017-08-14,55.400002,56.049999,55.400002,55.790001,47.987133,5775200,980
2017-08-15,55.73,55.779999,54.25,54.349998,46.748528,9457300,981
2017-08-16,57,57,54.470001,56.310001,48.434406,22059400,982
2017-08-17,56.529999,57.060001,55.41,56.119999,48.270981,15275200,983
2017-08-18,55.91,56.360001,55.650002,55.650002,47.866711,4738500,984
2017-08-21,55.860001,57.119999,55.610001,56.560001,48.649437,11604200,985
2017-08-22,56.720001,56.91,56.25,56.540001,48.632229,7969500,986
2017-08-23,56.400002,56.889999,56.16,56.459999,48.563423,4237800,987
2017-08-24,57.169998,57.630001,53.900002,54.209999,46.628105,15836400,988
2017-08-25,54.41,55.400002,54.049999,55.009998,47.316216,6979900,989
2017-08-28,54.619999,54.860001,54.07,54.439999,46.825939,6368500,990
2017-08-29,54.189999,54.860001,54.049999,54.549999,46.920551,4347800,991
2017-08-30,54.57,54.84,54.150002,54.32,46.722725,3494500,992
2017-08-31,54.279999,55,54.18,54.529999,46.903355,6017800,993
2017-09-01,54.84,56.419998,54.84,56.220001,48.356983,7047500,994
2017-09-05,56.130001,57.41,56.119999,57.349998,49.328945,7890400,995
2017-09-06,57.490002,58.630001,57.470001,58.02,49.905239,9376800,996
2017-09-07,58.310001,58.860001,57.849998,58.419998,50.249302,6951100,997
2017-09-08,58.130001,58.27,55.66,57.27,49.260132,10951400,998
2017-09-11,57.560001,57.84,57.110001,57.290001,49.277336,6057500,999
2017-09-12,57.330002,58.59,57.240002,57.889999,49.793423,5313700,1000
2017-09-13,57.970001,60.119999,57.93,59.509998,51.186852,8704700,1001
2017-09-14,59.540001,59.689999,58.959999,59.470001,51.152435,5057800,1002
2017-09-15,59.439999,60.09,59.130001,59.959999,51.573898,6718700,1003
2017-09-18,60.130001,60.439999,59.07,59.09,50.825584,5133100,1004
2017-09-19,59.200001,59.740002,58.759998,59.349998,51.049217,3944000,1005
2017-09-20,59.419998,59.490002,58.66,59.259998,50.971809,4830500,1006
2017-09-21,59.150002,59.150002,58,58.330002,50.17189,5395400,1007
2017-09-22,58.41,59.049999,58.169998,58.990002,50.739578,3510600,1008
2017-09-25,58,59.290001,57.950001,58.549999,50.361107,5990400,1009
2017-09-26,58.549999,59.080002,58.34,58.59,50.395519,4211000,1010
2017-09-27,58.560001,59.009998,57.849998,58.869999,50.636353,4279400,1011
2017-09-28,58.900002,59.509998,58.740002,58.91,50.670757,5183600,1012
2017-09-29,59.099998,59.57,58.68,59.009998,50.756767,3816900,1013
2017-10-02,58.790001,59.080002,57.700001,58.889999,50.653553,3909900,1014
2017-10-03,59.049999,59.240002,58.439999,58.580002,50.386925,3580000,1015
2017-10-04,58.68,58.93,58.52,58.66,50.455723,3037900,1016
2017-10-05,58.689999,58.889999,58.310001,58.380001,50.214897,4868800,1017
2017-10-06,57.540001,57.66,56.73,57.119999,49.131119,8925600,1018
2017-10-09,57.299999,57.299999,55.77,56.25,48.382797,6312200,1019
2017-10-10,56.799999,57.849998,56.580002,57.599998,49.543983,7358500,1020
2017-10-11,57.790001,59.669998,57.73,59.150002,50.87719,11676600,1021
2017-10-12,59.009998,60.25,58.540001,60.189999,51.77174,8970700,1022
2017-10-13,60.25,61.560001,59.950001,60.849998,52.339432,6800500,1023
2017-10-16,60.360001,60.75,59.57,60.150002,51.737339,4602200,1024
2017-10-17,60.169998,60.560001,59.860001,60.169998,51.754539,3285900,1025
2017-10-18,60.169998,60.580002,60,60.029999,51.634129,3538600,1026
2017-10-19,59.830002,60.540001,59.619999,60.43,51.978168,4201300,1027
2017-10-20,60.68,61.799999,60.540001,61.759998,53.12215,6053800,1028
2017-10-23,61.810001,63.619999,61.66,62.580002,53.827477,8877800,1029
2017-10-24,62.869999,63.240002,62.299999,62.93,54.128521,5644700,1030
2017-10-25,62.740002,62.970001,61.369999,61.919998,53.259777,6352500,1031
2017-10-26,62.099998,62.669998,61.639999,62.009998,53.337185,4287300,1032
2017-10-27,61.450001,61.560001,59.860001,60.259998,51.831944,6964400,1033
2017-10-30,60.18,60.200001,59.310001,59.549999,51.221245,6162200,1034
2017-10-31,59.490002,59.759998,58.91,59.040001,50.782585,6458100,1035
2017-11-01,58.799999,59.419998,58.619999,58.860001,50.62775,4710500,1036
